severity,issue_type,key,details
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60104stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60104stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60104stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60104stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60107stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60107stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60107stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60107stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60108stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60108stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60108stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60108stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60109stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60109stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60110stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60110stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60111stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60111stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60111stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60111stk01b (sem cor).
